Date,CountryName,School closing,Workplace closing,Cancel public events,Stay at home requirements,International travel controls
2020-04-23,Australia,2,2,2,2,4
2020-04-24,Australia,2,2,2,2,4
2020-04-25,Australia,2,2,2,2,4
2020-04-26,Australia,2,2,2,2,4
2020-04-27,Australia,2,2,2,2,4
2020-04-28,Australia,2,2,2,2,4
2020-04-29,Australia,2,2,2,2,4
2020-04-30,Australia,2,2,2,2,4
2020-05-01,Australia,2,2,2,2,4
2020-05-02,Australia,2,2,2,2,4
2020-05-03,Australia,2,2,2,2,4
2020-05-04,Australia,2,2,2,2,4
2020-05-05,Australia,2,2,2,2,4
2020-05-06,Australia,2,2,2,2,4
2020-05-07,Australia,2,2,2,2,4
2020-05-08,Australia,2,2,2,2,4
2020-05-09,Australia,2,2,2,2,4
2020-05-10,Australia,2,2,2,2,4
2020-05-11,Australia,2,2,2,2,4
2020-05-12,Australia,2,2,2,2,4
2020-05-13,Australia,2,2,2,2,4
2020-05-14,Australia,2,2,2,2,4
2020-05-15,Australia,2,1,2,1,4
2020-05-16,Australia,2,1,2,1,4
2020-05-17,Australia,2,1,2,1,4
2020-05-18,Australia,2,1,2,1,4
2020-05-19,Australia,2,1,2,1,4
2020-05-20,Australia,2,1,2,1,4
2020-05-21,Australia,2,1,2,1,4
2020-05-22,Australia,2,1,2,1,4
2020-05-23,Australia,2,1,2,1,4
2020-05-24,Australia,2,1,2,1,4
2020-05-25,Australia,2,1,2,1,4
2020-05-26,Australia,2,1,2,1,4
2020-05-27,Australia,2,1,2,1,4
2020-05-28,Australia,2,1,2,1,4
2020-05-29,Australia,2,1,2,0,4
2020-05-30,Australia,2,1,2,0,4
2020-05-31,Australia,2,1,2,0,4
2020-06-01,Australia,2,1,2,0,4
2020-06-02,Australia,2,1,2,0,4
2020-06-03,Australia,2,1,2,0,4
2020-06-04,Australia,2,1,2,0,4
2020-06-05,Australia,2,1,2,0,4
2020-06-06,Australia,2,1,2,0,4
2020-06-07,Australia,2,1,2,0,4
2020-06-08,Australia,2,1,2,0,4
2020-06-09,Australia,0,1,2,0,4
2020-06-10,Australia,0,1,2,0,4
2020-06-11,Australia,0,1,2,0,4
2020-06-12,Australia,0,1,1,0,4
2020-06-13,Australia,0,1,1,0,4
2020-06-14,Australia,0,1,1,0,4
2020-06-15,Australia,0,1,1,0,4
2020-06-16,Australia,0,1,1,0,4
2020-06-17,Australia,0,1,1,0,4
2020-06-18,Australia,0,1,1,0,4
2020-06-19,Australia,0,1,1,0,4
2020-06-20,Australia,0,1,1,0,4
2020-06-21,Australia,0,1,1,0,4
2020-06-22,Australia,0,1,1,0,4
2020-06-23,Australia,2,1,1,0,4
2020-06-24,Australia,2,1,1,0,4
2020-06-25,Australia,2,1,1,0,4
2020-06-26,Australia,2,1,1,0,4
2020-06-27,Australia,2,1,1,0,4
2020-06-28,Australia,2,1,1,0,4
2020-06-29,Australia,2,1,1,0,4
2020-06-30,Australia,2,1,1,0,4
2020-07-01,Australia,3,2,2,2,4
2020-07-02,Australia,3,2,2,2,4
2020-07-03,Australia,3,2,2,2,4
2020-07-04,Australia,3,2,2,2,4
2020-07-05,Australia,3,2,2,2,4
2020-07-06,Australia,3,2,2,2,4
2020-07-07,Australia,3,2,2,2,4
2020-07-08,Australia,3,2,2,3,4
2020-07-09,Australia,3,2,2,3,4
2020-07-10,Australia,3,2,2,3,4
2020-07-11,Australia,3,2,2,3,4
2020-07-12,Australia,3,2,2,3,4
2020-07-13,Australia,2,2,2,3,4
2020-07-14,Australia,2,2,2,3,4
2020-07-15,Australia,2,2,2,3,4
2020-07-16,Australia,2,2,2,2,4
2020-07-17,Australia,2,2,2,2,4
2020-07-18,Australia,2,2,2,2,4
2020-07-19,Australia,2,2,2,2,4
2020-07-20,Australia,2,2,2,2,4
2020-07-21,Australia,2,2,2,2,4
2020-07-22,Australia,2,2,2,2,4
2020-07-23,Australia,2,2,2,2,4
2020-07-24,Australia,2,2,2,2,4
2020-07-25,Australia,2,2,2,2,4
2020-07-26,Australia,2,2,2,2,4
2020-07-27,Australia,2,2,2,2,4
2020-07-28,Australia,2,2,2,2,4
2020-07-29,Australia,2,2,2,2,4
2020-07-30,Australia,2,2,2,2,4
2020-07-31,Australia,2,2,2,2,4
2020-08-01,Australia,2,2,2,2,4
2020-08-02,Australia,2,3,2,3,4
2020-08-03,Australia,3,3,2,3,4
2020-08-04,Australia,3,3,2,3,4
2020-08-05,Australia,3,3,2,3,4
2020-08-06,Australia,3,3,2,3,4
2020-08-07,Australia,3,3,2,3,4
2020-08-08,Australia,3,3,2,3,4
2020-08-09,Australia,3,3,2,3,4
2020-08-10,Australia,3,3,2,3,4
2020-08-11,Australia,3,3,2,3,4
2020-08-12,Australia,3,3,2,3,4
2020-08-13,Australia,3,3,2,3,4
2020-08-14,Australia,3,3,2,3,4
2020-08-15,Australia,3,3,2,3,4
2020-08-16,Australia,3,3,2,3,4
2020-08-17,Australia,3,3,2,3,4
2020-08-18,Australia,3,3,2,3,4
2020-08-19,Australia,3,3,2,3,4
2020-08-20,Australia,3,3,2,3,4
2020-08-21,Australia,3,3,2,3,4
2020-08-22,Australia,3,3,2,3,4
2020-08-23,Australia,3,3,2,3,4
2020-08-24,Australia,3,3,2,3,4
2020-08-25,Australia,3,3,2,3,4
2020-08-26,Australia,3,3,2,3,4
2020-08-27,Australia,3,3,2,3,4
2020-08-28,Australia,3,3,2,2,4
2020-08-29,Australia,3,3,2,2,4
2020-08-30,Australia,3,3,2,2,4
2020-08-31,Australia,3,3,2,2,4
2020-01-01,Brazil,0,0,0,0,0
2020-01-02,Brazil,0,0,0,0,0
2020-01-03,Brazil,0,0,0,0,0
2020-01-04,Brazil,0,0,0,0,0
2020-01-05,Brazil,0,0,0,0,0
2020-01-06,Brazil,0,0,0,0,0
2020-01-07,Brazil,0,0,0,0,0
2020-01-08,Brazil,0,0,0,0,0
2020-01-09,Brazil,0,0,0,0,0
2020-01-10,Brazil,0,0,0,0,0
2020-01-11,Brazil,0,0,0,0,0
2020-01-12,Brazil,0,0,0,0,0
2020-01-13,Brazil,0,0,0,0,0
2020-01-14,Brazil,0,0,0,0,0
2020-01-15,Brazil,0,0,0,0,0
2020-01-16,Brazil,0,0,0,0,0
2020-01-17,Brazil,0,0,0,0,0
2020-01-18,Brazil,0,0,0,0,0
2020-01-19,Brazil,0,0,0,0,0
2020-01-20,Brazil,0,0,0,0,0
2020-01-21,Brazil,0,0,0,0,0
2020-01-22,Brazil,0,0,0,0,0
2020-01-23,Brazil,0,0,0,0,0
2020-01-24,Brazil,0,0,0,0,0
2020-01-25,Brazil,0,0,0,0,0
2020-01-26,Brazil,0,0,0,0,0
2020-01-27,Brazil,0,0,0,0,0
2020-01-28,Brazil,0,0,0,0,0
2020-01-29,Brazil,0,0,0,0,0
2020-01-30,Brazil,0,0,0,0,0
2020-01-31,Brazil,0,0,0,0,0
2020-02-01,Brazil,0,0,0,0,0
2020-02-02,Brazil,0,0,0,0,0
2020-02-03,Brazil,0,0,0,0,0
2020-02-04,Brazil,0,0,0,0,0
2020-02-05,Brazil,0,0,0,0,0
2020-02-06,Brazil,0,0,0,0,0
2020-02-07,Brazil,0,0,0,0,0
2020-02-08,Brazil,0,0,0,0,0
2020-02-09,Brazil,0,0,0,0,0
2020-02-10,Brazil,0,0,0,0,0
2020-02-11,Brazil,0,0,0,0,0
2020-02-12,Brazil,0,0,0,0,0
2020-02-13,Brazil,0,0,0,0,0
2020-02-14,Brazil,0,0,0,0,0
2020-02-15,Brazil,0,0,0,0,0
2020-02-16,Brazil,0,0,0,0,0
2020-02-17,Brazil,0,0,0,0,0
2020-02-18,Brazil,0,0,0,0,0
2020-02-19,Brazil,0,0,0,0,0
2020-02-20,Brazil,0,0,0,0,0
2020-02-21,Brazil,0,0,0,0,0
2020-02-22,Brazil,0,0,0,0,0
2020-02-23,Brazil,0,0,0,0,0
2020-02-24,Brazil,0,0,0,0,0
2020-02-25,Brazil,0,0,0,0,0
2020-02-26,Brazil,0,0,0,0,0
2020-02-27,Brazil,0,0,0,0,0
2020-02-28,Brazil,0,0,0,0,0
2020-02-29,Brazil,0,0,0,0,0
2020-03-01,Brazil,0,0,0,0,0
2020-03-02,Brazil,0,0,0,0,0
2020-03-03,Brazil,0,0,0,0,0
2020-03-04,Brazil,0,0,0,0,0
2020-03-05,Brazil,0,0,0,0,0
2020-03-06,Brazil,0,0,0,0,0
2020-03-07,Brazil,0,0,0,0,0
2020-03-08,Brazil,0,0,0,0,0
2020-03-09,Brazil,0,0,0,0,0
2020-03-10,Brazil,0,0,0,0,0
2020-03-11,Brazil,0,0,0,0,0
2020-03-12,Brazil,3,0,2,0,0
2020-03-13,Brazil,3,1,2,1,2
2020-03-14,Brazil,3,1,2,1,2
2020-03-15,Brazil,3,1,2,1,2
2020-03-16,Brazil,3,1,2,1,2
2020-03-17,Brazil,3,3,2,1,2
2020-03-18,Brazil,3,3,2,1,2
2020-03-19,Brazil,3,3,2,1,3
2020-03-20,Brazil,3,3,2,1,3
2020-03-21,Brazil,3,3,2,1,3
2020-03-22,Brazil,3,3,2,1,3
2020-03-23,Brazil,3,3,2,1,3
2020-03-24,Brazil,3,3,2,1,3
2020-03-25,Brazil,3,3,2,1,3
2020-03-26,Brazil,3,3,2,1,3
2020-03-27,Brazil,3,3,2,1,4
2020-03-28,Brazil,3,3,2,1,4
2020-03-29,Brazil,3,3,2,1,4
2020-03-30,Brazil,3,3,2,1,4
2020-03-31,Brazil,3,3,2,1,4
2020-04-01,Brazil,3,3,2,1,4
2020-04-02,Brazil,3,3,2,1,4
2020-04-03,Brazil,3,3,2,1,4
2020-04-04,Brazil,3,3,2,1,4
2020-04-05,Brazil,3,3,2,1,4
2020-04-06,Brazil,3,3,2,1,4
2020-04-07,Brazil,3,3,2,1,4
2020-04-08,Brazil,3,3,2,1,4
2020-04-09,Brazil,3,3,2,1,4
2020-04-10,Brazil,3,3,2,1,4
2020-04-11,Brazil,3,3,2,1,4
2020-04-12,Brazil,3,3,2,1,4
2020-04-13,Brazil,3,3,2,1,4
2020-04-14,Brazil,3,3,2,1,4
2020-04-15,Brazil,3,3,2,1,4
2020-04-16,Brazil,3,3,2,1,4
2020-04-17,Brazil,3,3,2,1,4
2020-04-18,Brazil,3,3,2,1,4
2020-04-19,Brazil,3,3,2,1,4
2020-04-20,Brazil,3,3,2,1,4
2020-04-21,Brazil,3,3,2,1,4
2020-04-22,Brazil,3,3,2,1,4
2020-04-23,Brazil,3,3,2,1,4
2020-04-24,Brazil,3,3,2,1,4
2020-04-25,Brazil,3,3,2,1,4
2020-04-26,Brazil,3,3,2,1,4
2020-04-27,Brazil,3,3,2,1,4
2020-04-28,Brazil,3,3,2,1,4
2020-04-29,Brazil,3,3,2,1,4
2020-04-30,Brazil,3,3,2,1,4
2020-05-01,Brazil,3,3,2,1,4
2020-05-02,Brazil,3,3,2,1,4
2020-05-03,Brazil,3,3,2,1,4
2020-05-04,Brazil,3,3,2,1,4
2020-05-05,Brazil,3,3,2,2,4
2020-05-06,Brazil,3,3,2,2,4
2020-05-07,Brazil,3,3,2,2,4
2020-05-08,Brazil,3,3,2,2,4
2020-05-09,Brazil,3,3,2,2,4
2020-05-10,Brazil,3,3,2,2,4
2020-05-11,Brazil,3,3,2,2,4
2020-05-12,Brazil,3,3,2,2,4
2020-05-13,Brazil,3,3,2,2,4
2020-05-14,Brazil,3,3,2,2,4
2020-05-15,Brazil,3,3,2,2,4
2020-05-16,Brazil,3,3,2,2,4
2020-05-17,Brazil,3,3,2,2,4
2020-05-18,Brazil,3,3,2,2,4
2020-05-19,Brazil,3,3,2,2,4
2020-05-20,Brazil,3,3,2,2,4
2020-05-21,Brazil,3,3,2,2,4
2020-05-22,Brazil,3,3,2,2,4
2020-05-23,Brazil,3,3,2,2,4
2020-05-24,Brazil,3,3,2,2,4
2020-05-25,Brazil,3,3,2,2,4
2020-05-26,Brazil,3,3,2,2,4
2020-05-27,Brazil,3,3,2,2,4
2020-05-28,Brazil,3,3,2,2,4
2020-05-29,Brazil,3,3,2,2,4
2020-05-30,Brazil,3,3,2,2,4
2020-05-31,Brazil,3,3,2,2,4
2020-06-01,Brazil,3,2,2,2,4
2020-06-02,Brazil,3,2,2,2,4
2020-06-03,Brazil,3,2,2,2,4
2020-06-04,Brazil,3,2,2,2,4
2020-06-05,Brazil,3,2,2,2,4
2020-06-06,Brazil,3,2,2,2,4
2020-06-07,Brazil,3,2,2,2,4
2020-06-08,Brazil,3,2,2,2,4
2020-06-09,Brazil,3,2,2,2,4
2020-06-10,Brazil,3,2,2,2,4
2020-06-11,Brazil,3,2,2,2,4
2020-06-12,Brazil,3,2,2,2,4
2020-06-13,Brazil,3,2,2,2,4
2020-06-14,Brazil,3,2,2,2,4
2020-06-15,Brazil,3,2,2,2,4
2020-06-16,Brazil,3,2,2,2,4
2020-06-17,Brazil,3,2,2,2,4
2020-06-18,Brazil,3,2,2,2,4
2020-06-19,Brazil,3,2,2,2,4
2020-06-20,Brazil,3,2,2,2,4
2020-06-21,Brazil,3,2,2,2,4
2020-06-22,Brazil,3,2,2,2,4
2020-06-23,Brazil,3,2,2,2,4
2020-06-24,Brazil,3,2,2,2,4
2020-06-25,Brazil,3,2,2,2,4
2020-06-26,Brazil,3,2,2,2,4
2020-06-27,Brazil,3,2,2,2,4
2020-06-28,Brazil,3,2,2,2,4
2020-06-29,Brazil,3,2,2,2,4
2020-06-30,Brazil,3,2,2,2,4
2020-07-01,Brazil,3,2,2,2,4
2020-07-02,Brazil,3,2,2,2,4
2020-07-03,Brazil,3,3,2,2,4
2020-07-04,Brazil,3,3,2,2,4
2020-07-05,Brazil,3,3,2,2,4
2020-07-06,Brazil,3,3,2,2,4
2020-07-07,Brazil,3,3,2,2,4
2020-07-08,Brazil,3,3,2,2,4
2020-07-09,Brazil,3,3,2,2,4
2020-07-10,Brazil,3,3,2,2,4
2020-07-11,Brazil,3,3,2,2,4
2020-07-12,Brazil,3,3,2,2,4
2020-07-13,Brazil,3,3,2,2,4
2020-07-14,Brazil,3,3,2,2,4
2020-07-15,Brazil,3,3,2,2,4
2020-07-16,Brazil,3,3,2,2,4
2020-07-17,Brazil,3,3,2,2,4
2020-07-18,Brazil,3,3,2,2,4
2020-07-19,Brazil,3,3,2,2,4
2020-07-20,Brazil,3,3,2,2,4
2020-07-21,Brazil,3,3,2,2,4
2020-07-22,Brazil,3,3,2,2,4
2020-07-23,Brazil,3,3,2,2,4
2020-07-24,Brazil,3,3,2,2,4
2020-07-25,Brazil,3,3,2,2,4
2020-07-26,Brazil,3,3,2,2,4
2020-07-27,Brazil,3,3,2,2,4
2020-07-28,Brazil,3,3,2,2,4
2020-07-29,Brazil,3,3,2,2,1
2020-07-30,Brazil,3,3,2,2,1
2020-07-31,Brazil,3,3,2,2,1
2020-08-01,Brazil,3,3,2,2,1
2020-08-02,Brazil,3,3,2,2,1
2020-08-03,Brazil,3,3,2,2,1
2020-08-04,Brazil,3,3,2,2,1
2020-08-05,Brazil,3,3,2,2,1
2020-08-06,Brazil,3,3,2,2,1
2020-08-07,Brazil,3,3,2,2,1
2020-08-08,Brazil,3,3,2,2,1
2020-08-09,Brazil,3,3,2,2,1
2020-08-10,Brazil,3,3,2,2,1
2020-08-11,Brazil,3,3,2,2,1
2020-08-12,Brazil,3,3,2,2,1
2020-08-13,Brazil,3,3,2,2,1
2020-08-14,Brazil,3,3,2,2,1
2020-08-15,Brazil,3,3,2,2,1
2020-08-16,Brazil,3,3,2,2,1
2020-08-17,Brazil,3,3,2,2,1
2020-08-18,Brazil,3,3,2,2,1
2020-08-19,Brazil,3,3,2,2,1
2020-08-20,Brazil,3,3,2,2,1
2020-08-21,Brazil,3,3,2,2,1
2020-08-22,Brazil,3,3,2,2,1
2020-08-23,Brazil,3,3,2,2,1
2020-08-24,Brazil,3,3,2,3,1
2020-08-25,Brazil,3,3,2,3,1
2020-08-26,Brazil,3,3,2,3,1
2020-08-27,Brazil,3,3,2,3,1
2020-08-28,Brazil,3,3,2,3,1
2020-08-29,Brazil,3,3,2,3,1
2020-08-30,Brazil,3,3,2,3,1
2020-08-31,Brazil,3,3,2,2,1
2020-01-01,India,0,0,0,0,0
2020-01-02,India,0,0,0,0,0
2020-01-03,India,0,0,0,0,0
2020-01-04,India,0,0,0,0,0
2020-01-05,India,0,0,0,0,0
2020-01-06,India,0,0,0,0,0
2020-01-07,India,0,0,0,0,0
2020-01-08,India,0,0,0,0,0
2020-01-09,India,0,0,0,0,0
2020-01-10,India,0,0,0,0,0
2020-01-11,India,0,0,0,0,0
2020-01-12,India,0,0,0,0,0
2020-01-13,India,0,0,0,0,0
2020-01-14,India,0,0,0,0,0
2020-01-15,India,0,0,0,0,0
2020-01-16,India,0,0,0,0,0
2020-01-17,India,0,0,0,0,0
2020-01-18,India,0,0,0,0,0
2020-01-19,India,0,0,0,0,0
2020-01-20,India,0,0,0,0,0
2020-01-21,India,0,0,0,0,0
2020-01-22,India,0,0,0,0,0
2020-01-23,India,0,0,0,0,0
2020-01-24,India,0,0,0,0,0
2020-01-25,India,0,0,0,0,0
2020-01-26,India,0,0,0,1,1
2020-01-27,India,0,0,0,1,1
2020-01-28,India,0,0,0,1,1
2020-01-29,India,0,0,0,1,1
2020-01-30,India,0,0,0,1,1
2020-01-31,India,0,0,0,1,1
2020-02-01,India,0,0,0,1,1
2020-02-02,India,0,0,0,1,1
2020-02-03,India,0,0,0,1,1
2020-02-04,India,0,0,0,1,1
2020-02-05,India,0,0,0,1,1
2020-02-06,India,0,0,0,1,1
2020-02-07,India,0,0,0,1,1
2020-02-08,India,0,0,0,1,1
2020-02-09,India,0,0,0,1,1
2020-02-10,India,0,0,0,1,1
2020-02-11,India,0,0,0,1,1
2020-02-12,India,0,0,0,1,1
2020-02-13,India,0,0,0,1,1
2020-02-14,India,0,0,0,1,1
2020-02-15,India,0,0,0,1,1
2020-02-16,India,0,0,0,1,1
2020-02-17,India,0,0,0,1,1
2020-02-18,India,0,0,0,1,1
2020-02-19,India,0,0,0,1,1
2020-02-20,India,0,0,0,1,1
2020-02-21,India,0,0,0,1,1
2020-02-22,India,0,0,0,1,1
2020-02-23,India,0,0,0,1,1
2020-02-24,India,0,0,0,1,1
2020-02-25,India,0,0,0,1,1
2020-02-26,India,0,0,0,1,1
2020-02-27,India,0,0,0,1,1
2020-02-28,India,0,0,0,1,1
2020-02-29,India,0,0,0,1,1
2020-03-01,India,0,0,0,1,1
2020-03-02,India,0,0,0,1,1
2020-03-03,India,0,0,0,1,1
2020-03-04,India,2,0,0,1,1
2020-03-05,India,2,0,1,1,1
2020-03-06,India,2,0,1,1,1
2020-03-07,India,2,0,1,1,1
2020-03-08,India,2,0,1,1,1
2020-03-09,India,2,0,1,1,1
2020-03-10,India,2,0,1,1,1
2020-03-11,India,2,0,1,1,1
2020-03-12,India,2,0,1,1,1
2020-03-13,India,3,0,1,1,2
2020-03-14,India,3,0,2,1,2
2020-03-15,India,3,0,2,1,3
2020-03-16,India,3,1,2,1,3
2020-03-17,India,3,1,2,1,3
2020-03-18,India,3,1,2,1,3
2020-03-19,India,3,1,2,1,3
2020-03-20,India,3,1,2,1,3
2020-03-21,India,3,3,2,1,3
2020-03-22,India,3,3,2,3,4
2020-03-23,India,3,3,2,3,4
2020-03-24,India,3,3,2,3,4
2020-03-25,India,3,3,2,3,4
2020-03-26,India,3,3,2,3,4
2020-03-27,India,3,3,2,3,4
2020-03-28,India,3,3,2,3,4
2020-03-29,India,3,3,2,3,4
2020-03-30,India,3,3,2,3,4
2020-03-31,India,3,3,2,3,4
2020-04-01,India,3,3,2,3,4
2020-04-02,India,3,3,2,3,4
2020-04-03,India,3,3,2,3,4
2020-04-04,India,3,3,2,3,4
2020-04-05,India,3,3,2,3,4
2020-04-06,India,3,3,2,3,4
2020-04-07,India,3,3,2,3,4
2020-04-08,India,3,3,2,3,4
2020-04-09,India,3,3,2,3,4
2020-04-10,India,3,3,2,3,4
2020-04-11,India,3,3,2,3,4
2020-04-12,India,3,3,2,3,4
2020-04-13,India,3,3,2,3,4
2020-04-14,India,3,3,2,3,4
2020-04-15,India,3,3,2,3,4
2020-04-16,India,3,3,2,3,4
2020-04-17,India,3,3,2,3,4
2020-04-18,India,3,3,2,3,4
2020-04-19,India,3,3,2,3,4
2020-04-20,India,3,2,2,3,4
2020-04-21,India,3,2,2,3,4
2020-04-22,India,3,2,2,3,4
2020-04-23,India,3,2,2,3,4
2020-04-24,India,3,2,2,3,4
2020-04-25,India,3,2,2,3,4
2020-04-26,India,3,2,2,3,4
2020-04-27,India,3,2,2,3,4
2020-04-28,India,3,2,2,3,4
2020-04-29,India,3,2,2,3,4
2020-04-30,India,3,2,2,3,4
2020-05-01,India,3,2,2,3,4
2020-05-02,India,3,2,2,3,4
2020-05-03,India,3,2,2,3,4
2020-05-04,India,3,2,2,2,4
2020-05-05,India,3,2,2,2,4
2020-05-06,India,3,2,2,2,4
2020-05-07,India,3,2,2,2,4
2020-05-08,India,3,2,2,2,4
2020-05-09,India,3,2,2,2,4
2020-05-10,India,3,2,2,2,4
2020-05-11,India,3,2,2,2,4
2020-05-12,India,3,2,2,2,4
2020-05-13,India,3,2,2,2,4
2020-05-14,India,3,2,2,2,4
2020-05-15,India,3,2,2,2,4
2020-05-16,India,3,2,2,2,4
2020-05-17,India,3,2,2,2,4
2020-05-18,India,3,2,2,2,3
2020-05-19,India,3,2,2,2,3
2020-05-20,India,3,2,2,2,3
2020-05-21,India,3,2,2,2,3
2020-05-22,India,3,2,2,2,3
2020-05-23,India,3,2,2,2,3
2020-05-24,India,3,2,2,2,3
2020-05-25,India,3,2,2,2,3
2020-05-26,India,3,2,2,2,3
2020-05-27,India,3,2,2,2,3
2020-05-28,India,3,2,2,2,3
2020-05-29,India,3,2,2,2,3
2020-05-30,India,3,2,2,2,3
2020-05-31,India,3,2,2,2,3
2020-06-01,India,3,1,2,2,3
2020-06-02,India,3,1,2,2,3
2020-06-03,India,3,1,2,2,3
2020-06-04,India,3,1,2,2,3
2020-06-05,India,3,1,2,2,3
2020-06-06,India,3,1,2,2,3
2020-06-07,India,3,1,2,2,3
2020-06-08,India,3,1,2,2,3
2020-06-09,India,3,1,2,2,3
2020-06-10,India,3,1,2,2,3
2020-06-11,India,3,1,2,2,3
2020-06-12,India,3,1,2,2,3
2020-06-13,India,3,1,2,2,3
2020-06-14,India,3,1,2,2,3
2020-06-15,India,3,1,2,2,3
2020-06-16,India,3,1,2,2,3
2020-06-17,India,3,1,2,2,3
2020-06-18,India,3,2,2,2,3
2020-06-19,India,3,2,2,2,3
2020-06-20,India,3,2,2,2,3
2020-06-21,India,3,2,2,2,3
2020-06-22,India,3,2,2,2,3
2020-06-23,India,3,2,2,2,3
2020-06-24,India,3,2,2,2,3
2020-06-25,India,3,2,2,2,3
2020-06-26,India,3,2,2,2,3
2020-06-27,India,3,2,2,2,3
2020-06-28,India,3,2,2,2,3
